station,regex
Vicente Aleixandre,Vicente ?Aleixandre
Méndez Álvaro,M(e|é)ndez ?(a|á)lvaro
Guzmán el Bueno,Guzm(a|á)n ?el ?Bueno
Pacífico,Pac(i|í)fico
Cuatro Caminos,Cuatro ?Caminos
Conde de Casal,Conde ?de ?Casal
Nuevos Ministerios,Nuevos ?Ministerios
Sainz de Baranda,Sainz ?de ?Baranda
República Argentina,Rep(u|ú)blica ?Argentina
O'Donnell,O'Donnell
Avenida de América,Avenida ?de ?Am(e|é)rica
Manuel Becerra,Manuel ?Becerra
Diego de León,Diego ?de ?Le(o|ó)n
Hospital Infanta Sofía,Hospital ?Infanta ?Sof(i|í)a
Reyes Católicos,Reyes ?Cat(o|ó)licos
Baunatal,Baunatal
Manuel de Falla,Manuel ?de ?Falla
Marqués de la Valdavia,Marqu(e|é)s ?de ?la ?Valdavia
La Moraleja,La ?Moraleja
La Granja,La ?Granja
Ronda de la Comunicación,Ronda ?de ?la ?Comunicaci(o|ó)n
Las Tablas,Las ?Tablas
Montecarmelo,Montecarmelo
Tres Olivos,Tres ?Olivos
Fuencarral,Fuencarral
Begoña,Begoña
Chamartín,Chamart(i|í)n
Plaza de Castilla,Plaza ?de ?Castilla
Cuzco,Cuzco
Santiago Bernabéu,Santiago ?Bernab(e|é)u
Nuevos Ministerios,Nuevos ?Ministerios
Gregorio Marañón,Gregorio ?Marañ(o|ó)n
Alonso Martínez,Alonso ?Mart(i|í)nez
Tribunal,Tribunal
Plaza de España,Plaza ?de ?España
Príncipe Pío,Pr(i|í)ncipe ?P(i|í)o
Lago,Lago
Batán,Bat(a|á)n
Casa de Campo,Casa ?de ?Campo
Colonia Jardín,Colonia ?Jard(i|í)n
Aviación Española,Aviaci(o|ó)n ?Española
Cuatro Vientos,Cuatro ?Vientos
Joaquín Vilumbrales,Joaqu(i|í)n ?Vilumbrales
Puerta del Sur,Puerta ?del ?Sur
Villaverde,Villaverde
San Cristóbal,San ?Crist(o|ó)bal
Villaverde Bajo-Cruce,Villaverde ?Bajo-Cruce
Ciudad de los Ángeles,Ciudad ?de ?los ?(a|á)ngeles
San Fermín-Orcasur,San ?Ferm(i|í)n-Orcasur
Hospital 12 de Octubre,Hospital ?12 ?de ?Octubre
Almendrales,Almendrales
Legazpi,Legazpi
Delicias,Delicias
Palos de la Frontera,Palos ?de ?la ?Frontera
Embajadores,Embajadores
Lavapiés,Lavapi(e|é)s
Sol,Sol
Callao,Callao
Plaza de España,Plaza ?de ?España
Ventura Rodríguez,Ventura ?Rodr(i|í)guez
Argüelles,Argüelles
Moncloa,Moncloa
Argüelles,Argüelles
San Bernardo,San ?Bernardo
Bilbao,Bilbao
Alonso Martínez,Alonso ?Mart(i|í)nez
Colón,Col(o|ó)n
Serrano,Serrano
Velázquez,Vel(a|á)zquez
Goya,Goya
Lista,Lista
Diego de León,Diego ?de ?Le(o|ó)n
Avenida de América,Avenida ?de ?Am(e|é)rica
Prosperidad,Prosperidad
Alfonso XIII,Alfonso ?XIII
Avenida de la Paz,Avenida ?de ?la ?Paz
Arturo Soria,Arturo ?Soria
Esperanza,Esperanza
Canillas,Canillas
Mar de Cristal,Mar ?de ?Cristal
San Lorenzo		,San ?Lorenzo		
Parque de Santa María,Parque ?de ?Santa ?Mar(i|í)a
Hortaleza,Hortaleza
Manoteras,Manoteras
Pinar de Chamartín,Pinar ?de ?Chamart(i|í)n
Las Rosas,Las ?Rosas
Avenida de Guadalajara,Avenida ?de ?Guadalajara
Alsacia,Alsacia
La Almudena,La ?Almudena
La Elipa,La ?Elipa
Ventas,Ventas
Manuel Becerra,Manuel ?Becerra
Goya,Goya
Príncipe de Vergara,Pr(i|í)ncipe ?de ?Vergara
Retiro,Retiro
Banco de España,Banco ?de ?España
Sevilla,Sevilla
Sol,Sol
Ópera,(O|Ó)pera
Santo Domingo,Santo ?Domingo
Noviciado,Noviciado
San Bernardo,San ?Bernardo
Quevedo,Quevedo
Canal,Canal
Cuatro Caminos,Cuatro ?Caminos
Alcorcón Central,Alcorc(o|ó)n ?Central
Parque Lisboa,Parque ?Lisboa
Parque Oeste,Parque ?Oeste
Puerta del Sur,Puerta ?del ?Sur
San Nicasio,San ?Nicasio
Universidad Rey Juan Carlos,Universidad ?Rey ?Juan ?Carlos
Leganés Central,Legan(e|é)s ?Central
Móstoles Central,M(o|ó)stoles ?Central
Hospital Severo Ochoa,Hospital ?Severo ?Ochoa
Pradillo,Pradillo
Casa del Reloj,Casa ?del ?Reloj
Hospital de Móstoles,Hospital ?de ?M(o|ó)stoles
Julián Besteiro,Juli(a|á)n ?Besteiro
Manuela Malasaña,Manuela ?Malasaña
El Carrascal,El ?Carrascal
Loranca,Loranca
El Bercial,El ?Bercial
Hospital de Fuenlabrada,Hospital ?de ?Fuenlabrada
Los Espartales,Los ?Espartales
Parque Europa,Parque ?Europa
El Casar,El ?Casar
Fuenlabrada Central,Fuenlabrada ?Central
Juan de la Cierva,Juan ?de ?la ?Cierva
Parque de los Estados,Parque ?de ?los ?Estados
Getafe Central,Getafe ?Central
Alonso de Mendoza,Alonso ?de ?Mendoza
Arroyo Culebro,Arroyo ?Culebro
Conservatorio,Conservatorio
Pinar de Chamartín,Pinar ?de ?Chamart(i|í)n
Bambú,Bamb(u|ú)
Chamartín,Chamart(i|í)n
Plaza de Castilla,Plaza ?de ?Castilla
Valdeacederas,Valdeacederas
Tetuán,Tetu(a|á)n
Estrecho,Estrecho
Alvarado,Alvarado
Cuatro Caminos,Cuatro ?Caminos
Ríos Rosas,R(i|í)os ?Rosas
Iglesia	,Iglesia	
Bilbao,Bilbao
Tribunal,Tribunal
Gran Vía,Gran ?V(i|í)a
Sol,Sol
Tirso de Molina,Tirso ?de ?Molina
Antón Martín,Ant(o|ó)n ?Mart(i|í)n
Estación del Arte,Estaci(o|ó)n ?del ?Arte
Atocha Renfe,Atocha ?Renfe
Menéndez Pelayo,Men(e|é)ndez ?Pelayo
Pacífico,Pac(i|í)fico
Puente de Vallecas,Puente ?de ?Vallecas
Nueva Numancia,Nueva ?Numancia
Portazgo,Portazgo
Buenos Aires,Buenos ?Aires
Alto del Arenal,Alto ?del ?Arenal
Miguel Hernández,Miguel ?Hern(a|á)ndez
Sierra de Guadalupe,Sierra ?de ?Guadalupe
Villa de Vallecas,Villa ?de ?Vallecas
Congosto,Congosto
La Gavia,La ?Gavia
Las Suertes,Las ?Suertes
Valdecarros,Valdecarros
Ópera,(O|Ó)pera
Pincipe Pío,Pincipe ?P(i|í)o
